id,spaceCode,spaceName,floor,spaceStatus
1606,4B228,215,4,0
1604,4B226,216,4,0
1602,4B224,217,4,0
1600,4B222,218,4,0
1598,4B220,219,4,0
1596,4B218,220,4,0
1594,4B216,221,4,0
1592,4B214,222,4,0
1619,4B241,223,4,0
1617,4B239,224,4,0
1615,4B237,225,4,0
1613,4B235,226,4,0
1611,4B233,227,4,0
1609,4B231,228,4,0
1620,4B242,229,4,0
1618,4B240,230,4,0
1616,4B238,231,4,0
1614,4B236,232,4,0
1612,4B234,233,4,0
1610,4B232,234,4,0
1625,4B247,235,4,0
1623,4B245,236,4,0
1621,4B243,237,4,0
1626,4B248,238,4,0
1624,4B246,239,4,0
1622,4B244,240,4,0
1631,4B253,241,4,0
1629,4B251,242,4,0
1627,4B249,243,4,0
1632,4B254,244,4,0
1630,4B252,245,4,0
1628,4B250,246,4,0
1637,4B259,247,4,0
1635,4B257,248,4,0
1633,4B255,249,4,0
1638,4B260,250,4,0
1636,4B258,251,4,0
1634,4B256,252,4,0
1653,4B275,253,4,0
1651,4B273,254,4,0
1649,4B271,255,4,0
1647,4B269,256,4,0
1645,4B267,257,4,0
1643,4B265,258,4,0
1641,4B263,259,4,0
1639,4B261,260,4,1
1654,4B276,261,4,0
1652,4B274,262,4,0
1650,4B272,263,4,0
1648,4B270,264,4,0
1646,4B268,265,4,0
1644,4B266,266,4,0
1642,4B264,267,4,0
1640,4B262,268,4,1
1468,4D281,269,4,0
1466,4D279,270,4,0
1464,4D277,271,4,1
1509,4D323,272,4,0
1507,4D321,273,4,0
1505,4D319,274,4,0
1503,4D317,275,4,0
1501,4D315,276,4,0
1469,4D282,277,4,0
1467,4D280,278,4,0
1465,4D278,279,4,1
1510,4D324,280,4,0
1508,4D322,281,4,0
1506,4D320,282,4,0
1504,4D318,283,4,0
1502,4D316,284,4,0
1474,4D287,285,4,0
1472,4D285,286,4,0
1470,4D283,287,4,0
1519,4D333,288,4,1
1517,4D331,289,4,0
1515,4D329,290,4,1
1513,4D327,291,4,0
1511,4D325,292,4,0
1475,4D288,293,4,0
1473,4D286,294,4,0
1471,4D284,295,4,0
1520,4D334,296,4,0
1518,4D332,297,4,0
1516,4D330,298,4,0
1514,4D328,299,4,0
1512,4D326,300,4,1
1478,4D291,301,4,0
1477,4D290,302,4,0
1476,4D289,303,4,1
1525,4D339,304,4,0
1523,4D337,305,4,0
1521,4D335,306,4,0
1479,4D292,307,4,0
1526,4D340,308,4,0
1524,4D338,309,4,0
1522,4D336,310,4,0
1480,4D293,311,4,0
1485,4D298,312,4,0
1483,4D296,313,4,0
1481,4D294,314,4,1
1535,4D349,315,4,0
1533,4D347,316,4,0
1531,4D345,317,4,0
1529,4D343,318,4,0
1527,4D341,319,4,0
